"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-04","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-05","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-06","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-07","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-08","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-09","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-10","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-11","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-12","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-13","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-14","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-15","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-16","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-17","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-18","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-19","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-20","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-21","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-22","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-23","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-24","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-25","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-26","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-27","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-28","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-29","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-30","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-01-31","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-02-01","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-02-02","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-02-03","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-02-04","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-02-05","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-02-06","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2020-02-07","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",0,"Cumulative Count of COVID-19 Deaths"
