"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-01-17","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",112,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-01-18","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",1109,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-01-19","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",13527,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-01-20","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",105824,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-01-21","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",193699,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-01-22","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",462269,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-01-23","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",573268,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-01-24","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",613954,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-01-25","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",801759,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-01-26","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",1045746,"Total COVID-19 Vaccines Administered"
